task,domain,subdomain
100 doors,Puzzles and Games,Logic and Mathematical Puzzles
100 prisoners,Puzzles and Games,Logic and Mathematical Puzzles
15 puzzle game,Puzzles and Games,Game Development
2048,Puzzles and Games,Game Development
21 game,Puzzles and Games,Game Development
24 game,Puzzles and Games,Logic and Mathematical Puzzles
24 game/Solve,Puzzles and Games,Puzzle Solving Algorithms
4-rings or 4-squares puzzle,Puzzles and Games,Logic and Mathematical Puzzles
9 billion names of God the integer,Puzzles and Games,Logic and Mathematical Puzzles
A+B,Puzzles and Games,Logic and Mathematical Puzzles
ABC problem,Puzzles and Games,Logic and Mathematical Puzzles
AKS test for primes,Mathematics,Number Theory
ASCII art diagram converter,Puzzles and Games,Puzzle Solving Algorithms
AVL tree,Algorithms and Data Structures,Data Structures
"Abbreviations, automatic",Text Processing,String Manipulation
"Abbreviations, easy",Text Processing,String Manipulation
"Abbreviations, simple",Text Processing,String Manipulation
Abelian sandpile model,Puzzles and Games,Simulation and Modeling
Abelian sandpile model/Identity,Puzzles and Games,Logic and Mathematical Puzzles
Abstract type,Programming Concepts,Advanced Concepts
Abundant odd numbers,Mathematics,Number Theory
"Abundant, deficient and perfect number classifications",Mathematics,Number Theory
Accumulator factory,Programming Concepts,Advanced Concepts
Ackermann function,Algorithms and Data Structures,Algorithms
Active Directory/Connect,Networking and Web Development,Networking
Active Directory/Search for a user,Networking and Web Development,Networking
Active object,Concurrency and Parallelism,Multithreading and Thread Management
Add a variable to a class instance at runtime,Programming Concepts,Advanced Concepts
Additive primes,Mathematics,Number Theory
Address of a variable,Programming Concepts,Fundamentals
Algebraic data types,Algorithms and Data Structures,Algorithms
Align columns,Text Processing,String Manipulation
Aliquot sequence classifications,Mathematics,Number Theory
Almkvist-Giullera formula for pi,Mathematics,Numerical Methods
Almost prime,Mathematics,Number Theory
Amb,Puzzles and Games,Puzzle Solving Algorithms
Amicable pairs,Mathematics,Number Theory
Anagrams,Puzzles and Games,Logic and Mathematical Puzzles
