"index","label","domain_label","source","test"
"6096495","Secure Hash","java","BigCloneBench","public String getMD5 (String password) throws NoSuchAlgorithmException {
    MessageDigest md = MessageDigest.getInstance (""MD5"");
    md.update (password.getBytes ());
    byte byteData [] = md.digest ();
    StringBuffer sb = new StringBuffer ();
    for (int i = 0;
    i < byteData.length; i ++) {
        sb.append (Integer.toString ((byteData [i] & 0xff) + 0x100, 16).substring (1));
    }
    return sb.toString ();
}
"
"23677111","Download From Web","java","BigCloneBench","public static String downloadWebpage1 (String address) throws MalformedURLException, IOException {
    URL url = new URL (address);
    BufferedReader br = new BufferedReader (new InputStreamReader (url.openStream ()));
    String line;
    String page = """";
    while ((line = br.readLine ()) != null) {
        page += line + ""\n"";
    }
    br.close ();
    return page;
}
"
"23677112","Download From Web","java","BigCloneBench","public static String downloadWebpage2 (String address) throws MalformedURLException, IOException {
    URL url = new URL (address);
    HttpURLConnection conn = (HttpURLConnection) url.openConnection ();
    HttpURLConnection.setFollowRedirects (true);
    String encoding = conn.getContentEncoding ();
    InputStream is = null;
    if (encoding != null && encoding.equalsIgnoreCase (""gzip"")) {
        is = new GZIPInputStream (conn.getInputStream ());
    } else if (encoding != null && encoding.equalsIgnoreCase (""deflate"")) {
        is = new InflaterInputStream (conn.getInputStream ());
    } else {
        is = conn.getInputStream ();
    }

    BufferedReader br = new BufferedReader (new InputStreamReader (is));
    String line;
    String page = """";
    while ((line = br.readLine ()) != null) {
        page += line + ""\n"";
    }
    br.close ();
    return page;
}
"
"23677114","Copy File","java","BigCloneBench","public static void copyFile1 (File srcFile, File destFile) throws IOException {
    if (! destFile.exists ()) {
        destFile.createNewFile ();
    }
    FileInputStream fis = new FileInputStream (srcFile);
    FileOutputStream fos = new FileOutputStream (destFile);
    FileChannel source = fis.getChannel ();
    FileChannel destination = fos.getChannel ();
    destination.transferFrom (source, 0, source.size ());
    source.close ();
    destination.close ();
    fis.close ();
    fos.close ();
}
"
"23677115","Copy File","java","BigCloneBench","public static void copyFile2 (File srcFile, File destFile) throws IOException {
    FileUtils.copyFile (srcFile, destFile);
}
"
"23677116","Copy File","java","BigCloneBench","public static void copyFile3 (File srcFile, File destFile) throws IOException {
    InputStream in = new FileInputStream (srcFile);
    OutputStream out = new FileOutputStream (destFile);
    byte [] buf = new byte [1024];
    int len;
    while ((len = in.read (buf)) > 0) {
        out.write (buf, 0, len);
    }
    in.close ();
    out.close ();
}
"
"23677117","Copy File","java","BigCloneBench","public static void copyFile4 (File srcFile, File destFile) throws IOException {
    InputStream in = new FileInputStream (srcFile);
    OutputStream out = new FileOutputStream (destFile);
    IOUtils.copy (in, out);
    in.close ();
    out.close ();
}
"
"23677118","Copy File","java","BigCloneBench","public static void copyFile5 (File srcFile, File destFile) throws IOException {
    InputStream in = new FileInputStream (srcFile);
    OutputStream out = new FileOutputStream (destFile);
    IOUtils.copyLarge (in, out);
    in.close ();
    out.close ();
}
"
"23677120","Decompress zip archive.","java","BigCloneBench","public static void unzip1 (File zipfile, File outputdir) throws IOException {
    byte [] buffer = new byte [1024];
    if (! outputdir.exists ()) {
        outputdir.mkdirs ();
    }
    ArchiveInputStream zis = new ZipArchiveInputStream (new FileInputStream (zipfile));
    ArchiveEntry ae = zis.getNextEntry ();
    while (ae != null) {
        File newFile = new File (outputdir + File.separator + ae.getName ());
        if (! newFile.getParentFile ().exists ()) newFile.getParentFile ().mkdirs ();

        if (ae.isDirectory ()) {
            if (! newFile.exists ()) newFile.mkdir ();

        } else {
            FileOutputStream fos = new FileOutputStream (newFile);
            int len;
            while ((len = zis.read (buffer)) > 0) {
                fos.write (buffer, 0, len);
            }
            fos.close ();
        }
        ae = zis.getNextEntry ();
    }
    zis.close ();
}
"
"23677122","Connect to FTP Server","java","BigCloneBench","public FTPClient sample1a (String server, int port, String username, String password) throws SocketException, IOException {
    FTPClient ftpClient = new FTPClient ();
    ftpClient.connect (server, port);
    ftpClient.login (username, password);
    return ftpClient;
}
"
