clone_code_id,base_code_id,task,clone_language,similarity_score,domain,subdomain,clone_type,clone_sub_type
p3fd_1_1,p3fd,100 doors,python,0.99863565,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
p3fd_1_2,p3fd,100 doors,python,0.9889858,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
p3fd_1_3,p3fd,100 doors,python,0.99767554,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
p3fd_1_4,p3fd,100 doors,python,0.99767554,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
p3fd_2_1,p3fd,100 doors,python,0.9853475,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
p3fd_2_2,p3fd,100 doors,python,0.9933038,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
p3fd_2_3,p3fd,100 doors,python,0.99999845,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
p3fd_3_1,p3fd,100 doors,python,0.9960222,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
p3fd_3_2,p3fd,100 doors,python,0.99933624,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
p3fd_3_3,p3fd,100 doors,python,0.9991722,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
p3fd_3_4,p3fd,100 doors,python,0.99733186,Puzzles and Games,Logic and Mathematical Puzzles,T3,Control Flow Modifications
p3fd_4_1,p3fd,100 doors,python,0.99605906,Puzzles and Games,Logic and Mathematical Puzzles,T4,Same Language
p3fd_4_2,p3fd,100 doors,javascript,0.93258524,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,java,0.94437027,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,go,0.94737077,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,ruby,0.965712,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,php,0.9428542,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
tcob_1_1,tcob,100 prisoners,python,0.9999982,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
tcob_1_2,tcob,100 prisoners,python,0.99185616,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
tcob_1_3,tcob,100 prisoners,python,0.9929896,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
tcob_1_4,tcob,100 prisoners,python,0.9925241,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
tcob_2_1,tcob,100 prisoners,python,0.95300496,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
