Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,7972,0.8145499131500971,7416,0.7577398589966282
T1,2476,2386,0.9636510500807755,2341,0.9454765751211631
T2,1857,1748,0.9413031771674745,1695,0.9127625201938611
T3,2476,2267,0.9155896607431341,2173,0.8776252019386107
T4,2978,1571,0.5275352585627938,1207,0.40530557421087976
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,588,0.9499192245557351,571,0.9224555735056543
T1 - Different Comments,619,588,0.9499192245557351,570,0.9208400646203554
T1 - Different Formatting,619,591,0.9547657512116317,582,0.9402261712439418
T2 - Different Variable Names,619,573,0.925686591276252,548,0.8852988691437803
T2 - Different Data Types,619,584,0.9434571890145396,568,0.9176090468497576
T2 - Different Function Names,619,591,0.9547657512116317,579,0.9353796445880452
T3 - Added Statements,619,575,0.9289176090468497,551,0.8901453957996769
T3 - Removed Statements,619,558,0.901453957996769,529,0.8546042003231018
T3 - Reordered Statements,619,572,0.9240710823909531,555,0.8966074313408724
T3 - Control Flow Modifications,619,562,0.9079159935379645,538,0.8691437802907916
T4 - Same Language,619,552,0.8917609046849758,505,0.815831987075929
T4 - Different Language,2359,1019,0.43196269605765153,702,0.29758372191606614
Domain - Puzzles and Games,1166,990,0.8490566037735849,927,0.7950257289879932
Domain - Mathematics,3648,2884,0.7905701754385965,2679,0.734375
Domain - Text Processing,489,418,0.8548057259713702,401,0.820040899795501
Domain - Programming Concepts,1503,1201,0.7990685296074518,1087,0.7232202262142382
Domain - Algorithms and Data Structures,1052,856,0.8136882129277566,801,0.7614068441064639
Domain - Networking and Web Development,210,183,0.8714285714285714,171,0.8142857142857143
Domain - Concurrency and Parallelism,91,83,0.9120879120879121,82,0.9010989010989011
Domain - Graphics and Visualization,582,497,0.8539518900343642,472,0.8109965635738832
Domain - Systems Programming and File I/O,478,381,0.797071129707113,348,0.7280334728033473
Domain - Bioinformatics,32,29,0.90625,29,0.90625
Domain - Security and Cryptography,219,187,0.8538812785388128,178,0.8127853881278538
Domain - Databases and Data Management,80,69,0.8625,63,0.7875
Domain - Miscellaneous Topics,65,46,0.7076923076923077,42,0.6461538461538462
Domain - Operating Systems and Shell Programming,110,96,0.8727272727272727,89,0.8090909090909091
Domain - Software Engineering,16,11,0.6875,8,0.5
Domain - Artificial Intelligence and Machine Learning,46,41,0.8913043478260869,39,0.8478260869565217
