Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,9788,9788,0,0.9888449927370242,0.995736685,1.0,1.0,1.0,1.0,9788,0,0,0
T1,2476,2476,0,0.9958377216882085,0.99880758,1.0,1.0,1.0,1.0,2476,0,0,0
T2,1857,1857,0,0.9941138760204624,0.996833,1.0,1.0,1.0,1.0,1857,0,0,0
T3,2476,2476,0,0.9935783012358657,0.9973589,1.0,1.0,1.0,1.0,2476,0,0,0
T4,2979,2979,0,0.9758144506143008,0.97956705,1.0,1.0,1.0,1.0,2979,0,0,0
T1 - Identical Clone,619,619,0,0.9999366371243951,1.0,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Whitespaces,619,619,0,0.9927224059127622,0.9972384,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Comments,619,619,0,0.9950836065751218,0.99842894,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Formatting,619,619,0,0.9956082371405497,0.99827576,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Variable Names,619,619,0,0.9928090381098543,0.99505156,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Data Types,619,619,0,0.9937438086268169,0.9972918,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Function Names,619,619,0,0.9957887813247164,0.9980294,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Added Statements,619,619,0,0.993023585234248,0.99658513,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Removed Statements,619,619,0,0.993485364765751,0.9973707,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Reordered Statements,619,619,0,0.9949014542487883,0.9984175,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Control Flow Modifications,619,619,0,0.9929028006946695,0.9967132,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Same Language,619,619,0,0.9906305890953159,0.99468243,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Different Language,2360,2360,0,0.9719283532754217,0.97672885,1.0,1.0,1.0,1.0,2360,0,0,0
Domain - Puzzles and Games,1166,1166,0,0.989781983319038,0.99595329,1.0,1.0,1.0,1.0,1166,0,0,0
Domain - Mathematics,3649,3649,0,0.9889195914935606,0.9959916,1.0,1.0,1.0,1.0,3649,0,0,0
Domain - Text Processing,489,489,0,0.9912831750715752,0.99765486,1.0,1.0,1.0,1.0,489,0,0,0
Domain - Programming Concepts,1503,1503,0,0.9887488031470388,0.99494463,1.0,1.0,1.0,1.0,1503,0,0,0
Domain - Algorithms and Data Structures,1052,1052,0,0.9889560113593147,0.995900515,1.0,1.0,1.0,1.0,1052,0,0,0
Domain - Networking and Web Development,210,210,0,0.9880938169047616,0.993660525,1.0,1.0,1.0,1.0,210,0,0,0
Domain - Concurrency and Parallelism,91,91,0,0.9905830751648353,0.99539053,1.0,1.0,1.0,1.0,91,0,0,0
Domain - Graphics and Visualization,582,582,0,0.9887107755154642,0.99464665,1.0,1.0,1.0,1.0,582,0,0,0
Domain - Systems Programming and File I/O,478,478,0,0.9875020503138077,0.9954681249999999,1.0,1.0,1.0,1.0,478,0,0,0
Domain - Bioinformatics,32,32,0,0.9933840168750002,0.9987188300000001,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Security and Cryptography,219,219,0,0.9874115569863006,0.9969329,1.0,1.0,1.0,1.0,219,0,0,0
Domain - Databases and Data Management,80,80,0,0.9900968319999999,0.994299875,1.0,1.0,1.0,1.0,80,0,0,0
Domain - Miscellaneous Topics,65,65,0,0.9572963849230766,0.9886897,1.0,1.0,1.0,1.0,65,0,0,0
Domain - Operating Systems and Shell Programming,110,110,0,0.9895635043636362,0.99442568,1.0,1.0,1.0,1.0,110,0,0,0
Domain - Software Engineering,16,16,0,0.99173377625,0.99515642,1.0,1.0,1.0,1.0,16,0,0,0
Domain - Artificial Intelligence and Machine Learning,46,46,0,0.9928519460869561,0.997548165,1.0,1.0,1.0,1.0,46,0,0,0
