clone_code_id,base_code_id,task,clone_language,similarity_score,domain,subdomain,clone_type,clone_sub_type
p3fd_1_1,p3fd,100 doors,python,0.9964241,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
p3fd_1_2,p3fd,100 doors,python,0.98967373,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
p3fd_1_3,p3fd,100 doors,python,0.99822116,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
p3fd_1_4,p3fd,100 doors,python,0.99822116,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
p3fd_2_1,p3fd,100 doors,python,0.99329627,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
p3fd_2_2,p3fd,100 doors,python,0.9968421,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
p3fd_2_3,p3fd,100 doors,python,1.0000001,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
p3fd_3_1,p3fd,100 doors,python,0.997852,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
p3fd_3_2,p3fd,100 doors,python,0.9995625,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
p3fd_3_3,p3fd,100 doors,python,0.9992267,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
p3fd_3_4,p3fd,100 doors,python,0.99821246,Puzzles and Games,Logic and Mathematical Puzzles,T3,Control Flow Modifications
p3fd_4_1,p3fd,100 doors,python,0.9971578,Puzzles and Games,Logic and Mathematical Puzzles,T4,Same Language
p3fd_4_2,p3fd,100 doors,javascript,0.96550405,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,java,0.97872597,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,go,0.9785582,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,ruby,0.9844749,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,php,0.95933473,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
tcob_1_1,tcob,100 prisoners,python,1.0000001,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
tcob_1_2,tcob,100 prisoners,python,0.9980432,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
tcob_1_3,tcob,100 prisoners,python,0.9984185,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
tcob_1_4,tcob,100 prisoners,python,0.9983864,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
tcob_2_1,tcob,100 prisoners,python,0.99045444,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
tcob_2_2,tcob,100 prisoners,python,0.99761486,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
tcob_2_3,tcob,100 prisoners,python,0.9983273,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
tcob_3_1,tcob,100 prisoners,python,0.99824494,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
tcob_3_2,tcob,100 prisoners,python,0.99727154,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
tcob_3_3,tcob,100 prisoners,python,0.9984837,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
