Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,8046,7228,0.8983345761869251,6688,0.8312204822271937
T1,2476,2339,0.9446688206785138,2278,0.9200323101777059
T2,1857,1719,0.925686591276252,1662,0.8949919224555735
T3,2476,2251,0.9091276252019386,2144,0.8659127625201939
T4,1237,919,0.7429264349232013,604,0.48827809215844786
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,554,0.8949919224555735,526,0.8497576736672051
T1 - Different Comments,619,583,0.9418416801292407,571,0.9224555735056543
T1 - Different Formatting,619,583,0.9418416801292407,563,0.9095315024232633
T2 - Different Variable Names,619,562,0.9079159935379645,535,0.864297253634895
T2 - Different Data Types,619,571,0.9224555735056543,553,0.8933764135702746
T2 - Different Function Names,619,586,0.9466882067851373,574,0.9273021001615509
T3 - Added Statements,619,566,0.9143780290791599,528,0.8529886914378029
T3 - Removed Statements,619,562,0.9079159935379645,538,0.8691437802907916
T3 - Reordered Statements,619,574,0.9273021001615509,560,0.9046849757673667
T3 - Control Flow Modifications,619,549,0.8869143780290791,518,0.8368336025848142
T4 - Same Language,619,536,0.8659127625201939,484,0.7819063004846527
T4 - Different Language,618,383,0.6197411003236246,120,0.1941747572815534
Domain - Puzzles and Games,949,865,0.9114857744994731,791,0.8335089567966281
Domain - Mathematics,3029,2653,0.8758666226477385,2451,0.8091779465170023
Domain - Text Processing,390,374,0.958974358974359,352,0.9025641025641026
Domain - Programming Concepts,1208,1077,0.8915562913907285,997,0.8253311258278145
Domain - Algorithms and Data Structures,858,766,0.8927738927738927,723,0.8426573426573427
Domain - Networking and Web Development,169,159,0.9408284023668639,150,0.8875739644970414
Domain - Concurrency and Parallelism,78,76,0.9743589743589743,75,0.9615384615384616
Domain - Graphics and Visualization,494,469,0.9493927125506073,424,0.8582995951417004
Domain - Systems Programming and File I/O,403,352,0.8734491315136477,319,0.7915632754342432
Domain - Bioinformatics,26,26,1.0,25,0.9615384615384616
Domain - Security and Cryptography,182,168,0.9230769230769231,158,0.8681318681318682
Domain - Databases and Data Management,65,64,0.9846153846153847,61,0.9384615384615385
Domain - Miscellaneous Topics,52,42,0.8076923076923077,33,0.6346153846153846
Domain - Operating Systems and Shell Programming,91,88,0.967032967032967,83,0.9120879120879121
Domain - Software Engineering,13,10,0.7692307692307693,10,0.7692307692307693
Domain - Artificial Intelligence and Machine Learning,39,39,1.0,36,0.9230769230769231
