Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,9788,9788,0,0.9898556112219052,0.997104035,1.0,1.0,1.0,1.0,9788,0,0,0
T1,2476,2476,0,0.9966032868659093,0.999284225,1.0,1.0,1.0,1.0,2476,0,0,0
T2,1857,1857,0,0.9963785052773292,0.99858594,1.0,1.0,1.0,1.0,1857,0,0,0
T3,2476,2476,0,0.9949723692084018,0.997941375,1.0,1.0,1.0,1.0,2476,0,0,0
T4,2979,2979,0,0.9759283363209149,0.9822135,1.0,1.0,1.0,1.0,2979,0,0,0
T1 - Identical Clone,619,619,0,0.9999835937318253,1.0,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Whitespaces,619,619,0,0.9929556859773828,0.99582374,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Comments,619,619,0,0.9970530203392569,0.9992176,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Formatting,619,619,0,0.9964208474151861,0.99893004,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Variable Names,619,619,0,0.9961615276413565,0.9983387,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Data Types,619,619,0,0.9952552503231006,0.9978944,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Function Names,619,619,0,0.9977187378675292,0.9991446,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Added Statements,619,619,0,0.9950747124394187,0.99764645,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Removed Statements,619,619,0,0.9942680380129245,0.99758726,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Reordered Statements,619,619,0,0.9962517159127628,0.999084,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Control Flow Modifications,619,619,0,0.9942950104684971,0.9970576,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Same Language,619,619,0,0.9925632238449098,0.99545735,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Different Language,2360,2360,0,0.9715652026864424,0.9776137,1.0,1.0,1.0,1.0,2360,0,0,0
Domain - Puzzles and Games,1166,1166,0,0.9900531001286453,0.9961389,1.0,1.0,1.0,1.0,1166,0,0,0
Domain - Mathematics,3649,3649,0,0.9892945578487278,0.9968809,1.0,1.0,1.0,1.0,3649,0,0,0
Domain - Text Processing,489,489,0,0.9902973342126791,0.99805725,1.0,1.0,1.0,1.0,489,0,0,0
Domain - Programming Concepts,1503,1503,0,0.9905632847638067,0.99763894,1.0,1.0,1.0,1.0,1503,0,0,0
Domain - Algorithms and Data Structures,1052,1052,0,0.9894744817490483,0.9969442,1.0,1.0,1.0,1.0,1052,0,0,0
Domain - Networking and Web Development,210,210,0,0.9903104461904763,0.99667118,1.0,1.0,1.0,1.0,210,0,0,0
Domain - Concurrency and Parallelism,91,91,0,0.9907195057142857,0.9972042,1.0,1.0,1.0,1.0,91,0,0,0
Domain - Graphics and Visualization,582,582,0,0.9913164639518904,0.99744805,1.0,1.0,1.0,1.0,582,0,0,0
Domain - Systems Programming and File I/O,478,478,0,0.990370800606695,0.99780815,1.0,1.0,1.0,1.0,478,0,0,0
Domain - Bioinformatics,32,32,0,0.9950299118749998,0.99866523,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Security and Cryptography,219,219,0,0.9907780244748862,0.9974922,1.0,1.0,1.0,1.0,219,0,0,0
Domain - Databases and Data Management,80,80,0,0.987304309625,0.99302012,1.0,1.0,1.0,1.0,80,0,0,0
Domain - Miscellaneous Topics,65,65,0,0.9781197152307695,0.9912186,1.0,1.0,1.0,1.0,65,0,0,0
Domain - Operating Systems and Shell Programming,110,110,0,0.9900258843636365,0.99615544,1.0,1.0,1.0,1.0,110,0,0,0
Domain - Software Engineering,16,16,0,0.99237541625,0.996514085,1.0,1.0,1.0,1.0,16,0,0,0
Domain - Artificial Intelligence and Machine Learning,46,46,0,0.9943778239130434,0.998284035,1.0,1.0,1.0,1.0,46,0,0,0
