Group,Number of Instances,Total Passed,Total Failed,Average similarity_score,Median similarity_score,Accuracy,Precision,Recall,F1-Score,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN)
Overall,9788,9788,0,0.9846955007202721,0.994458675,1.0,1.0,1.0,1.0,9788,0,0,0
T1,2476,2476,0,0.994640569991921,0.998740675,1.0,1.0,1.0,1.0,2476,0,0,0
T2,1857,1857,0,0.9938042599784593,0.9974673,1.0,1.0,1.0,1.0,1857,0,0,0
T3,2476,2476,0,0.9912980003513739,0.9962559049999999,1.0,1.0,1.0,1.0,2476,0,0,0
T4,2979,2979,0,0.965263897314539,0.9721966,1.0,1.0,1.0,1.0,2979,0,0,0
T1 - Identical Clone,619,619,0,0.9999510318739904,1.0,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Whitespaces,619,619,0,0.989175223796446,0.99295825,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Comments,619,619,0,0.9952198220193856,0.99854445,1.0,1.0,1.0,1.0,619,0,0,0
T1 - Different Formatting,619,619,0,0.9942162022778679,0.9980842,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Variable Names,619,619,0,0.9938927546203561,0.9971433,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Data Types,619,619,0,0.991777197673668,0.99636656,1.0,1.0,1.0,1.0,619,0,0,0
T2 - Different Function Names,619,619,0,0.9957428276413564,0.9985432,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Added Statements,619,619,0,0.9911692410823908,0.9958106,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Removed Statements,619,619,0,0.9902767372859443,0.9954353,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Reordered Statements,619,619,0,0.9939641335864298,0.99830425,1.0,1.0,1.0,1.0,619,0,0,0
T3 - Control Flow Modifications,619,619,0,0.9897818894507265,0.9944832,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Same Language,619,619,0,0.986784816122779,0.9916968,1.0,1.0,1.0,1.0,619,0,0,0
T4 - Different Language,2360,2360,0,0.9596192156440685,0.96667105,1.0,1.0,1.0,1.0,2360,0,0,0
Domain - Puzzles and Games,1166,1166,0,0.986787052152658,0.9949905,1.0,1.0,1.0,1.0,1166,0,0,0
Domain - Mathematics,3649,3649,0,0.9849709436914222,0.99489295,1.0,1.0,1.0,1.0,3649,0,0,0
Domain - Text Processing,489,489,0,0.985054906503068,0.99551165,1.0,1.0,1.0,1.0,489,0,0,0
Domain - Programming Concepts,1503,1503,0,0.9812269277245484,0.9907292,1.0,1.0,1.0,1.0,1503,0,0,0
Domain - Algorithms and Data Structures,1052,1052,0,0.9845215342015214,0.99446423,1.0,1.0,1.0,1.0,1052,0,0,0
Domain - Networking and Web Development,210,210,0,0.9850307091428574,0.9936397,1.0,1.0,1.0,1.0,210,0,0,0
Domain - Concurrency and Parallelism,91,91,0,0.9882658138461536,0.99650776,1.0,1.0,1.0,1.0,91,0,0,0
Domain - Graphics and Visualization,582,582,0,0.9888114237457043,0.996092435,1.0,1.0,1.0,1.0,582,0,0,0
Domain - Systems Programming and File I/O,478,478,0,0.9825649806485346,0.9918776,1.0,1.0,1.0,1.0,478,0,0,0
Domain - Bioinformatics,32,32,0,0.9939395568749998,0.9985965,1.0,1.0,1.0,1.0,32,0,0,0
Domain - Security and Cryptography,219,219,0,0.9878278862100458,0.99685633,1.0,1.0,1.0,1.0,219,0,0,0
Domain - Databases and Data Management,80,80,0,0.98278124275,0.9888036499999999,1.0,1.0,1.0,1.0,80,0,0,0
Domain - Miscellaneous Topics,65,65,0,0.9705379556923076,0.9855398,1.0,1.0,1.0,1.0,65,0,0,0
Domain - Operating Systems and Shell Programming,110,110,0,0.982073715727273,0.99148833,1.0,1.0,1.0,1.0,110,0,0,0
Domain - Software Engineering,16,16,0,0.9843297124999999,0.98871975,1.0,1.0,1.0,1.0,16,0,0,0
Domain - Artificial Intelligence and Machine Learning,46,46,0,0.9931769165217387,0.9980610999999999,1.0,1.0,1.0,1.0,46,0,0,0
