clone_code_id,base_code_id,task,clone_language,similarity_score,domain,subdomain,clone_type,clone_sub_type
p3fd_1_1,p3fd,100 doors,python,0.99894,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
p3fd_1_2,p3fd,100 doors,python,0.9957854,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
p3fd_1_3,p3fd,100 doors,python,0.99876344,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
p3fd_1_4,p3fd,100 doors,python,0.99876344,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
p3fd_2_1,p3fd,100 doors,python,0.9959045,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
p3fd_2_2,p3fd,100 doors,python,0.99526596,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
p3fd_2_3,p3fd,100 doors,python,0.9999999,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
p3fd_3_1,p3fd,100 doors,python,0.9973501,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
p3fd_3_2,p3fd,100 doors,python,0.99927384,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
p3fd_3_3,p3fd,100 doors,python,0.99955153,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
p3fd_3_4,p3fd,100 doors,python,0.99488574,Puzzles and Games,Logic and Mathematical Puzzles,T3,Control Flow Modifications
p3fd_4_1,p3fd,100 doors,python,0.99476236,Puzzles and Games,Logic and Mathematical Puzzles,T4,Same Language
p3fd_4_2,p3fd,100 doors,javascript,0.981845,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,java,0.9442588,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,go,0.93601084,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,ruby,0.98658067,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,php,0.9804287,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
tcob_1_1,tcob,100 prisoners,python,1.0,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
tcob_1_2,tcob,100 prisoners,python,0.9731229,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
tcob_1_3,tcob,100 prisoners,python,0.9990611,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
tcob_1_4,tcob,100 prisoners,python,0.99882555,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
tcob_2_1,tcob,100 prisoners,python,0.9978108,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
tcob_2_2,tcob,100 prisoners,python,0.99712735,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
tcob_2_3,tcob,100 prisoners,python,0.9989962,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
tcob_3_1,tcob,100 prisoners,python,0.9990424,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
tcob_3_2,tcob,100 prisoners,python,0.99771905,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
