test_id,original_index,task,clone_language,similarity_score,clone_type,clone_sub_type
z4tt_1_1,z4tt,100 doors,python,0.9999999,T1,Identical Clone
z4tt_1_2,z4tt,100 doors,python,0.99406403,T1,Different Whitespaces
z4tt_1_3,z4tt,100 doors,python,0.9989079,T1,Different Comments
z4tt_1_4,z4tt,100 doors,python,0.99840707,T1,Different Formatting
z4tt_2_1,z4tt,100 doors,python,0.9958911,T2,Different Variable Names
z4tt_2_2,z4tt,100 doors,python,0.99690944,T2,Different Data Types
z4tt_2_3,z4tt,100 doors,python,0.9999999,T2,Different Function Names
z4tt_3_1,z4tt,100 doors,python,0.9972306,T3,Added Statements
z4tt_3_2,z4tt,100 doors,python,0.9993485,T3,Removed Statements
z4tt_3_3,z4tt,100 doors,python,0.99813044,T3,Reordered Statements
z4tt_3_4,z4tt,100 doors,python,0.99688864,T3,Control Flow Modifications
z4tt_4_1,z4tt,100 doors,python,0.99267685,T4,Same Language
z4tt_4_2,z4tt,100 doors,go,0.94561076,T4,Different Language
z4tt_4_2,z4tt,100 doors,java,0.94147605,T4,Different Language
z4tt_4_2,z4tt,100 doors,javascript,0.9798317,T4,Different Language
z4tt_4_2,z4tt,100 doors,php,0.97955364,T4,Different Language
z4tt_4_2,z4tt,100 doors,ruby,0.9837183,T4,Different Language
vu129_1_1,vu129,100 prisoners,python,1.0,T1,Identical Clone
vu129_1_2,vu129,100 prisoners,python,0.96904856,T1,Different Whitespaces
vu129_1_3,vu129,100 prisoners,python,0.9997015,T1,Different Comments
vu129_1_4,vu129,100 prisoners,python,0.9997015,T1,Different Formatting
vu129_2_1,vu129,100 prisoners,python,0.9992342,T2,Different Variable Names
vu129_2_2,vu129,100 prisoners,python,0.9980772,T2,Different Data Types
vu129_2_3,vu129,100 prisoners,python,0.9999887,T2,Different Function Names
vu129_3_1,vu129,100 prisoners,python,0.99970484,T3,Added Statements
vu129_3_2,vu129,100 prisoners,python,0.9990083,T3,Removed Statements
vu129_3_3,vu129,100 prisoners,python,0.99973047,T3,Reordered Statements
vu129_3_4,vu129,100 prisoners,python,0.99933434,T3,Control Flow Modifications
vu129_4_1,vu129,100 prisoners,python,0.9758738,T4,Same Language
vu129_4_2,vu129,100 prisoners,go,0.89827013,T4,Different Language
vu129_4_2,vu129,100 prisoners,java,0.98181593,T4,Different Language
vu129_4_2,vu129,100 prisoners,javascript,0.87611127,T4,Different Language
vu129_4_2,vu129,100 prisoners,ruby,0.93932503,T4,Different Language
clr9q_1_1,clr9q,15 puzzle game,python,1.0,T1,Identical Clone
clr9q_1_2,clr9q,15 puzzle game,python,0.9867743,T1,Different Whitespaces
clr9q_1_3,clr9q,15 puzzle game,python,0.99970347,T1,Different Comments
clr9q_1_4,clr9q,15 puzzle game,python,0.9998832,T1,Different Formatting
clr9q_2_1,clr9q,15 puzzle game,python,0.99929965,T2,Different Variable Names
clr9q_2_2,clr9q,15 puzzle game,python,0.99985206,T2,Different Data Types
clr9q_2_3,clr9q,15 puzzle game,python,0.9996934,T2,Different Function Names
clr9q_3_1,clr9q,15 puzzle game,python,0.9941975,T3,Added Statements
clr9q_3_2,clr9q,15 puzzle game,python,0.9992784,T3,Removed Statements
clr9q_3_3,clr9q,15 puzzle game,python,0.99009246,T3,Reordered Statements
clr9q_3_4,clr9q,15 puzzle game,python,0.9954481,T3,Control Flow Modifications
clr9q_4_1,clr9q,15 puzzle game,python,0.9932701,T4,Same Language
clr9q_4_2,clr9q,15 puzzle game,go,0.93409806,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,java,0.97947675,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,javascript,0.98748034,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,php,0.9804567,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,ruby,0.97744185,T4,Different Language
inmof_1_1,inmof,2048,python,1.0,T1,Identical Clone
inmof_1_2,inmof,2048,python,0.9828172,T1,Different Whitespaces
inmof_1_3,inmof,2048,python,1.0,T1,Different Comments
inmof_1_4,inmof,2048,python,0.98283976,T1,Different Formatting
inmof_2_1,inmof,2048,python,0.9993912,T2,Different Variable Names
inmof_2_2,inmof,2048,python,0.99986416,T2,Different Data Types
inmof_2_3,inmof,2048,python,0.9998432,T2,Different Function Names
inmof_3_1,inmof,2048,python,0.99946964,T3,Added Statements
inmof_3_2,inmof,2048,python,0.9989691,T3,Removed Statements
inmof_3_3,inmof,2048,python,0.9999131,T3,Reordered Statements
inmof_3_4,inmof,2048,python,0.98218745,T3,Control Flow Modifications
inmof_4_1,inmof,2048,python,0.98160005,T4,Same Language
inmof_4_2,inmof,2048,go,0.96517235,T4,Different Language
inmof_4_2,inmof,2048,java,0.97538686,T4,Different Language
inmof_4_2,inmof,2048,javascript,0.9869075,T4,Different Language
inmof_4_2,inmof,2048,php,0.98858404,T4,Different Language
inmof_4_2,inmof,2048,ruby,0.9801808,T4,Different Language
