test_id,base_code_id,base_language,base_task,base_domain,base_subdomain,similarity_score,clone_code_id,clone_language,clone_task,clone_domain,clone_subdomain,clone_type,clone_sub_type
z4tt_1_1_1,z4tt,python,100 doors,Game Development,Puzzles,0.9999999,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone
z4tt_1_1_2,z4tt,python,100 doors,Game Development,Puzzles,0.9999999,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone
z4tt_1_1_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9287743,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone
z4tt_1_1_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9287743,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone
z4tt_1_1_5,inmof,python,2048,Game Development,Puzzles,0.92812777,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone
z4tt_1_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.99402833,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces
z4tt_1_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.99402833,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces
z4tt_1_2_3,inmof,python,2048,Game Development,Puzzles,0.9278691,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces
z4tt_1_2_4,inmof,python,2048,Game Development,Puzzles,0.9278691,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces
z4tt_1_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9165608,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces
z4tt_1_3_1,z4tt,python,100 doors,Game Development,Puzzles,0.9986343,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments
z4tt_1_3_2,z4tt,python,100 doors,Game Development,Puzzles,0.9986343,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments
z4tt_1_3_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9307952,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments
z4tt_1_3_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9307952,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments
z4tt_1_3_5,inmof,python,2048,Game Development,Puzzles,0.93032205,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments
z4tt_1_4_1,z4tt,python,100 doors,Game Development,Puzzles,0.9992957,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting
z4tt_1_4_2,z4tt,python,100 doors,Game Development,Puzzles,0.9992957,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting
z4tt_1_4_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9285991,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting
z4tt_1_4_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9285991,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting
z4tt_1_4_5,inmof,python,2048,Game Development,Puzzles,0.9263162,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting
z4tt_2_1_1,z4tt,python,100 doors,Game Development,Puzzles,0.99656343,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names
z4tt_2_1_2,z4tt,python,100 doors,Game Development,Puzzles,0.99656343,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names
z4tt_2_1_3,inmof,python,2048,Game Development,Puzzles,0.9219115,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names
z4tt_2_1_4,inmof,python,2048,Game Development,Puzzles,0.9219115,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names
z4tt_2_1_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9213258,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names
z4tt_2_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.9985461,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types
z4tt_2_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.9985461,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types
z4tt_2_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.92726564,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types
z4tt_2_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.92726564,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types
z4tt_2_2_5,inmof,python,2048,Game Development,Puzzles,0.9248539,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types
z4tt_2_3_1,z4tt,python,100 doors,Game Development,Puzzles,0.9986019,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names
z4tt_2_3_2,z4tt,python,100 doors,Game Development,Puzzles,0.9986019,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names
z4tt_2_3_3,inmof,python,2048,Game Development,Puzzles,0.9292891,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names
z4tt_2_3_4,inmof,python,2048,Game Development,Puzzles,0.9292891,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names
z4tt_2_3_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9285027,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names
z4tt_3_1_1,z4tt,python,100 doors,Game Development,Puzzles,0.9977388,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements
z4tt_3_1_2,z4tt,python,100 doors,Game Development,Puzzles,0.9977388,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements
z4tt_3_1_3,inmof,python,2048,Game Development,Puzzles,0.9300592,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements
z4tt_3_1_4,inmof,python,2048,Game Development,Puzzles,0.9300592,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements
z4tt_3_1_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9294053,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements
z4tt_3_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.99937063,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements
z4tt_3_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.99937063,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements
z4tt_3_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.92576003,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements
z4tt_3_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.92576003,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements
z4tt_3_2_5,inmof,python,2048,Game Development,Puzzles,0.92474246,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements
z4tt_3_3_1,z4tt,python,100 doors,Game Development,Puzzles,0.9989482,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements
z4tt_3_3_2,z4tt,python,100 doors,Game Development,Puzzles,0.9989482,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements
z4tt_3_3_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9291897,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements
z4tt_3_3_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9291897,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements
z4tt_3_3_5,inmof,python,2048,Game Development,Puzzles,0.9282843,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements
z4tt_3_4_1,z4tt,python,100 doors,Game Development,Puzzles,0.9954015,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications
z4tt_3_4_2,z4tt,python,100 doors,Game Development,Puzzles,0.9954015,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications
z4tt_3_4_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.92523474,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications
z4tt_3_4_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.92523474,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications
z4tt_3_4_5,vu129,python,100 prisoners,Game Development,Puzzles,0.92406577,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications
z4tt_4_1_1,z4tt,python,100 doors,Game Development,Puzzles,0.99789906,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language
z4tt_4_1_2,z4tt,python,100 doors,Game Development,Puzzles,0.99789906,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language
z4tt_4_1_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9343395,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language
z4tt_4_1_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9343395,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language
z4tt_4_1_5,vu129,python,100 prisoners,Game Development,Puzzles,0.9317318,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language
z4tt_4_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.94561076,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.94561076,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_3,inmof,python,2048,Game Development,Puzzles,0.8886688,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_4,inmof,python,2048,Game Development,Puzzles,0.8886688,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.8687373,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9791915,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9791915,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.975103,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.975103,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_5,inmof,python,2048,Game Development,Puzzles,0.94881815,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.9798317,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.9798317,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_3,inmof,python,2048,Game Development,Puzzles,0.94234,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_4,inmof,python,2048,Game Development,Puzzles,0.94234,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9394878,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.97955364,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language
