test_id,clone_code_id,clone_language,clone_task,clone_domain,clone_subdomain,clone_type,clone_sub_type,similarity_score,base_code_id,base_language,base_task,base_domain,base_subdomain
z4tt_1_1_1,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone,0.9999999,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_1_2,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone,0.9999999,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_1_3,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone,0.9287743,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_1_4,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone,0.9287743,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_1_5,z4tt_1_1,python,100 doors,Game Development,Puzzles,T1,Identical Clone,0.92812777,inmof,python,2048,Game Development,Puzzles
z4tt_1_2_1,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces,0.99402833,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_2_2,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces,0.99402833,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_2_3,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces,0.9278691,inmof,python,2048,Game Development,Puzzles
z4tt_1_2_4,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces,0.9278691,inmof,python,2048,Game Development,Puzzles
z4tt_1_2_5,z4tt_1_2,python,100 doors,Game Development,Puzzles,T1,Different Whitespaces,0.9165608,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_3_1,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments,0.9986343,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_3_2,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments,0.9986343,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_3_3,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments,0.9307952,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_3_4,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments,0.9307952,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_3_5,z4tt_1_3,python,100 doors,Game Development,Puzzles,T1,Different Comments,0.93032205,inmof,python,2048,Game Development,Puzzles
z4tt_1_4_1,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting,0.9992957,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_4_2,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting,0.9992957,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_4_3,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting,0.9285991,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_4_4,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting,0.9285991,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_1_4_5,z4tt_1_4,python,100 doors,Game Development,Puzzles,T1,Different Formatting,0.9263162,inmof,python,2048,Game Development,Puzzles
z4tt_2_1_1,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names,0.99656343,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_1_2,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names,0.99656343,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_1_3,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names,0.9219115,inmof,python,2048,Game Development,Puzzles
z4tt_2_1_4,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names,0.9219115,inmof,python,2048,Game Development,Puzzles
z4tt_2_1_5,z4tt_2_1,python,100 doors,Game Development,Puzzles,T2,Different Variable Names,0.9213258,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_2_2_1,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types,0.9985461,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_2_2,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types,0.9985461,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_2_3,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types,0.92726564,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_2_2_4,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types,0.92726564,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_2_2_5,z4tt_2_2,python,100 doors,Game Development,Puzzles,T2,Different Data Types,0.9248539,inmof,python,2048,Game Development,Puzzles
z4tt_2_3_1,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names,0.9986019,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_3_2,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names,0.9986019,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_3_3,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names,0.9292891,inmof,python,2048,Game Development,Puzzles
z4tt_2_3_4,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names,0.9292891,inmof,python,2048,Game Development,Puzzles
z4tt_2_3_5,z4tt_2_3,python,100 doors,Game Development,Puzzles,T2,Different Function Names,0.9285027,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_1_1,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements,0.9977388,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_1_2,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements,0.9977388,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_1_3,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements,0.9300592,inmof,python,2048,Game Development,Puzzles
z4tt_3_1_4,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements,0.9300592,inmof,python,2048,Game Development,Puzzles
z4tt_3_1_5,z4tt_3_1,python,100 doors,Game Development,Puzzles,T3,Added Statements,0.9294053,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_2_1,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements,0.99937063,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_2_2,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements,0.99937063,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_2_3,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements,0.92576003,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_2_4,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements,0.92576003,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_2_5,z4tt_3_2,python,100 doors,Game Development,Puzzles,T3,Removed Statements,0.92474246,inmof,python,2048,Game Development,Puzzles
z4tt_3_3_1,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements,0.9989482,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_3_2,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements,0.9989482,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_3_3,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements,0.9291897,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_3_4,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements,0.9291897,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_3_5,z4tt_3_3,python,100 doors,Game Development,Puzzles,T3,Reordered Statements,0.9282843,inmof,python,2048,Game Development,Puzzles
z4tt_3_4_1,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications,0.9954015,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_4_2,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications,0.9954015,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_4_3,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications,0.92523474,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_4_4,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications,0.92523474,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_3_4_5,z4tt_3_4,python,100 doors,Game Development,Puzzles,T3,Control Flow Modifications,0.92406577,vu129,python,100 prisoners,Game Development,Puzzles
