test_id,original_index,title,clone_domain_label,similarity_score,clone_type
6109982,6096495,Secure Hash,java,0.96743786,3
6146146,6096495,Secure Hash,java,0.96790093,3
6150596,6096495,Secure Hash,java,0.9754554,3
6155833,6096495,Secure Hash,java,0.95218945,3
6159896,6096495,Secure Hash,java,0.9516873,3
6166363,6096495,Secure Hash,java,0.9681847,3
6168445,6096495,Secure Hash,java,0.96146274,3
6176440,6096495,Secure Hash,java,0.9537749,3
6176441,6096495,Secure Hash,java,0.95430624,3
6182433,6096495,Secure Hash,java,0.96882385,3
6182434,6096495,Secure Hash,java,0.9729936,3
6190355,6096495,Secure Hash,java,0.98042476,3
6190356,6096495,Secure Hash,java,0.9638146,3
6226250,6096495,Secure Hash,java,0.95813644,3
6258282,6096495,Secure Hash,java,0.9729276,3
6270867,6096495,Secure Hash,java,0.9505786,3
6270868,6096495,Secure Hash,java,0.9505786,3
6296285,6096495,Secure Hash,java,0.97136766,3
6297832,6096495,Secure Hash,java,0.9728472,3
6317842,6096495,Secure Hash,java,0.9651904,3
6319402,6096495,Secure Hash,java,0.95948374,3
6322468,6096495,Secure Hash,java,0.978922,3
6322715,6096495,Secure Hash,java,0.9452545,3
6326517,6096495,Secure Hash,java,0.96806294,3
6381991,6096495,Secure Hash,java,0.9764113,3
6382620,6096495,Secure Hash,java,0.9750912,3
6387775,6096495,Secure Hash,java,0.9765025,3
6405249,6096495,Secure Hash,java,0.9714467,3
6451560,6096495,Secure Hash,java,0.95758396,3
6491370,6096495,Secure Hash,java,0.9729099,3
6503552,6096495,Secure Hash,java,0.9743184,3
6506273,6096495,Secure Hash,java,0.9774647,3
6508481,6096495,Secure Hash,java,0.94824874,3
6517139,6096495,Secure Hash,java,0.9758457,3
6535232,6096495,Secure Hash,java,0.97679484,3
6541774,6096495,Secure Hash,java,0.9631696,3
6556152,6096495,Secure Hash,java,0.9426378,3
6569409,6096495,Secure Hash,java,0.9777899,3
6596328,6096495,Secure Hash,java,0.97616494,3
6625074,6096495,Secure Hash,java,0.98301363,3
6633988,6096495,Secure Hash,java,0.9713135,3
6641463,6096495,Secure Hash,java,0.9481112,3
6641464,6096495,Secure Hash,java,0.9458523,3
6659731,6096495,Secure Hash,java,0.97749126,3
6707620,6096495,Secure Hash,java,0.9833143,3
6716087,6096495,Secure Hash,java,0.9661058,3
6729311,6096495,Secure Hash,java,0.95218945,3
6753786,6096495,Secure Hash,java,0.9768821,3
6756635,6096495,Secure Hash,java,0.96146274,3
6778220,6096495,Secure Hash,java,0.95288396,3
6788258,6096495,Secure Hash,java,0.95218945,3
6795580,6096495,Secure Hash,java,0.95218945,3
6863593,6096495,Secure Hash,java,0.96584404,3
6866575,6096495,Secure Hash,java,0.9744328,3
6886408,6096495,Secure Hash,java,0.96616054,3
6906419,6096495,Secure Hash,java,0.9546266,3
6936843,6096495,Secure Hash,java,0.9633973,3
6939447,6096495,Secure Hash,java,0.9477679,3
6954984,6096495,Secure Hash,java,0.9423634,3
6969465,6096495,Secure Hash,java,0.97660315,3
6983973,6096495,Secure Hash,java,0.95218945,3
6987642,6096495,Secure Hash,java,0.97484004,3
7008364,6096495,Secure Hash,java,0.97538143,3
7034069,6096495,Secure Hash,java,0.95199394,3
7044674,6096495,Secure Hash,java,0.9465999,3
7044675,6096495,Secure Hash,java,0.9476743,3
7044685,6096495,Secure Hash,java,0.97079414,3
7067836,6096495,Secure Hash,java,0.96803963,3
7082101,6096495,Secure Hash,java,0.9795111,3
7099534,6096495,Secure Hash,java,0.9480731,3
7114853,6096495,Secure Hash,java,0.9429808,3
7133024,6096495,Secure Hash,java,0.9701004,3
7157998,6096495,Secure Hash,java,0.95570153,3
7177879,6096495,Secure Hash,java,0.96665466,3
7194282,6096495,Secure Hash,java,0.97664833,3
7215887,6096495,Secure Hash,java,0.97508,3
7219016,6096495,Secure Hash,java,0.9722952,3
7231926,6096495,Secure Hash,java,0.95680976,3
7235121,6096495,Secure Hash,java,0.9635632,3
7273182,6096495,Secure Hash,java,0.9697329,3
7283902,6096495,Secure Hash,java,0.9727352,3
7309996,6096495,Secure Hash,java,0.9604508,3
7317602,6096495,Secure Hash,java,0.96146274,3
7330695,6096495,Secure Hash,java,0.9811751,3
7333455,6096495,Secure Hash,java,0.9761447,3
7344728,6096495,Secure Hash,java,0.96969736,3
7346958,6096495,Secure Hash,java,0.96146274,3
7350139,6096495,Secure Hash,java,0.9789929,3
