test_id,original_index,title,clone_domain_label,similarity_score,clone_type,clone_sub_type
4c5k_1,4c5k,Sorting Algorithm (Bubble Sort),Python,1,Type 1 Clone (Exact Clone),Identical Clone
4c5k_2,4c5k,Sorting Algorithm (Bubble Sort),Python,0.9775142,Type 1 Clone (Exact Clone),Different Whitespaces
4c5k_3,4c5k,Sorting Algorithm (Bubble Sort),Python,0.9914511,Type 1 Clone (Exact Clone),Different Comments
4c5k_4,4c5k,Sorting Algorithm (Bubble Sort),Python,0.99889195,Type 1 Clone (Exact Clone),Different Formatting
4c5k_5,4c5k,Sorting Algorithm (Bubble Sort),Python,0.9981259,Type 2 Clone (Renamed Clone),Different variable names
4c5k_6,4c5k,Sorting Algorithm (Bubble Sort),Python,0.99855316,Type 2 Clone (Renamed Clone),Different data types
4c5k_7,4c5k,Sorting Algorithm (Bubble Sort),Python,0.9997413,Type 2 Clone (Renamed Clone),Different function names
4c5k_8,4c5k,Sorting Algorithm (Bubble Sort),Python,0.99852526,Type 3 Clone (Near-Miss Clone),Added statements
4c5k_9,4c5k,Sorting Algorithm (Bubble Sort),Python,0.99873453,Type 3 Clone (Near-Miss Clone),Removed statements
4c5k_10,4c5k,Sorting Algorithm (Bubble Sort),Python,0.9991075,Type 3 Clone (Near-Miss Clone),Reordered statements
4c5k_11,4c5k,Sorting Algorithm (Bubble Sort),Python,0.99929756,Type 3 Clone (Near-Miss Clone),Control Flow Modifications
4c5k_12,4c5k,Sorting Algorithm (Bubble Sort),Python,0.9969283,Type 4 Clone (Semantic Clone),Same language-Different Implementation
4c5k_13,4c5k,Sorting Algorithm (Bubble Sort),Java,0.9690896,Type 4 Clone (Semantic Clone),Different language-Java
4c5k_14,4c5k,Sorting Algorithm (Bubble Sort),C,0.9838463,Type 4 Clone (Semantic Clone),Different language-C
4c5k_15,4c5k,Sorting Algorithm (Bubble Sort),GO,0.957335,Type 4 Clone (Semantic Clone),Different language-GO
1a2b_1,1a2b,Array concatenation,Python,1.0000001,Type 1 Clone (Exact Clone),Identical Clone
1a2b_2,1a2b,Array concatenation,Python,0.9985645,Type 1 Clone (Exact Clone),Different Whitespaces
1a2b_3,1a2b,Array concatenation,Python,0.9853604,Type 1 Clone (Exact Clone),Different Comments
1a2b_4,1a2b,Array concatenation,Python,0.97687817,Type 1 Clone (Exact Clone),Different Formatting
1a2b_5,1a2b,Array concatenation,Python,0.997663,Type 2 Clone (Renamed Clone),Different variable names
1a2b_6,1a2b,Array concatenation,Python,0.9895258,Type 2 Clone (Renamed Clone),Different data types
1a2b_7,1a2b,Array concatenation,Python,0.98656803,Type 2 Clone (Renamed Clone),Different function names
1a2b_8,1a2b,Array concatenation,Python,0.99005616,Type 3 Clone (Near-Miss Clone),Added statements
1a2b_9,1a2b,Array concatenation,Python,0.989783,Type 3 Clone (Near-Miss Clone),Removed statements
1a2b_10,1a2b,Array concatenation,Python,0.9982754,Type 3 Clone (Near-Miss Clone),Reordered statements
1a2b_11,1a2b,Array concatenation,Python,0.9956618,Type 3 Clone (Near-Miss Clone),Control Flow Modifications
1a2b_12,1a2b,Array concatenation,Python,0.9935172,Type 4 Clone (Semantic Clone),Same language-Different Implementation
1a2b_13,1a2b,Array concatenation,Java,0.9256284,Type 4 Clone (Semantic Clone),Different language-Java
1a2b_14,1a2b,Array concatenation,C,0.9200599,Type 4 Clone (Semantic Clone),Different language-C
1a2b_15,1a2b,Array concatenation,GO,0.9468074,Type 4 Clone (Semantic Clone),Different language-GO
