test_id,original_index,task,clone_language,similarity_score,clone_type,clone_sub_type
z4tt_1_1,z4tt,100 doors,python,0.9999999,T1,Identical Clone
z4tt_1_2,z4tt,100 doors,python,0.99421495,T1,Different Whitespaces
z4tt_1_3,z4tt,100 doors,python,0.9989105,T1,Different Comments
z4tt_1_4,z4tt,100 doors,python,0.9992467,T1,Different Formatting
z4tt_2_1,z4tt,100 doors,python,0.9967172,T2,Different Variable Names
z4tt_2_2,z4tt,100 doors,python,0.99561214,T2,Different Data Types
z4tt_2_3,z4tt,100 doors,python,0.9999999,T2,Different Function Names
z4tt_3_1,z4tt,100 doors,python,0.99774337,T3,Added Statements
z4tt_3_2,z4tt,100 doors,python,0.99937063,T3,Removed Statements
z4tt_3_3,z4tt,100 doors,python,0.9989429,T3,Reordered Statements
z4tt_3_4,z4tt,100 doors,python,0.99624956,T3,Control Flow Modifications
z4tt_4_1,z4tt,100 doors,python,0.99736947,T4,Same Language
z4tt_4_2,z4tt,100 doors,go,0.94561076,T4,Different Language
z4tt_4_2,z4tt,100 doors,java,0.94147605,T4,Different Language
z4tt_4_2,z4tt,100 doors,javascript,0.9798317,T4,Different Language
z4tt_4_2,z4tt,100 doors,php,0.97955364,T4,Different Language
z4tt_4_2,z4tt,100 doors,ruby,0.9837183,T4,Different Language
vu129_1_1,vu129,100 prisoners,python,1.0,T1,Identical Clone
vu129_1_2,vu129,100 prisoners,python,0.967666,T1,Different Whitespaces
vu129_1_3,vu129,100 prisoners,python,1.0,T1,Different Comments
vu129_1_4,vu129,100 prisoners,python,0.9997015,T1,Different Formatting
vu129_2_1,vu129,100 prisoners,python,0.99939424,T2,Different Variable Names
vu129_2_2,vu129,100 prisoners,python,0.9980772,T2,Different Data Types
vu129_2_3,vu129,100 prisoners,python,0.99997985,T2,Different Function Names
vu129_3_1,vu129,100 prisoners,python,1.0,T3,Added Statements
vu129_3_2,vu129,100 prisoners,python,0.99912584,T3,Removed Statements
vu129_3_3,vu129,100 prisoners,python,0.99952173,T3,Reordered Statements
vu129_3_4,vu129,100 prisoners,python,0.9991868,T3,Control Flow Modifications
vu129_4_1,vu129,100 prisoners,python,0.99393666,T4,Same Language
vu129_4_2,vu129,100 prisoners,go,0.89827013,T4,Different Language
vu129_4_2,vu129,100 prisoners,java,0.98181593,T4,Different Language
vu129_4_2,vu129,100 prisoners,javascript,0.87611127,T4,Different Language
vu129_4_2,vu129,100 prisoners,ruby,0.93932503,T4,Different Language
clr9q_1_1,clr9q,15 puzzle game,python,1.0,T1,Identical Clone
clr9q_1_2,clr9q,15 puzzle game,python,0.9861154,T1,Different Whitespaces
clr9q_1_3,clr9q,15 puzzle game,python,0.9997115,T1,Different Comments
clr9q_1_4,clr9q,15 puzzle game,python,0.9998832,T1,Different Formatting
clr9q_2_1,clr9q,15 puzzle game,python,0.99919367,T2,Different Variable Names
clr9q_2_2,clr9q,15 puzzle game,python,0.99971926,T2,Different Data Types
clr9q_2_3,clr9q,15 puzzle game,python,0.99939156,T2,Different Function Names
clr9q_3_1,clr9q,15 puzzle game,python,0.99970347,T3,Added Statements
clr9q_3_2,clr9q,15 puzzle game,python,0.99545956,T3,Removed Statements
