Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,6998,0.7150301420251354,6385,0.652396035557372
T1,2476,2344,0.9466882067851373,2271,0.9172051696284329
T2,1857,1711,0.9213785675821217,1641,0.8836833602584814
T3,2476,2157,0.8711631663974152,1990,0.8037156704361874
T4,2978,786,0.2639355271994627,483,0.16218938885157824
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,560,0.9046849757673667,525,0.8481421647819063
T1 - Different Comments,619,576,0.9305331179321487,559,0.9030694668820679
T1 - Different Formatting,619,589,0.9515347334410339,569,0.9192245557350566
T2 - Different Variable Names,619,571,0.9224555735056543,547,0.8836833602584814
T2 - Different Data Types,619,558,0.901453957996769,527,0.851373182552504
T2 - Different Function Names,619,582,0.9402261712439418,567,0.9159935379644588
T3 - Added Statements,619,541,0.8739903069466882,496,0.8012924071082391
T3 - Removed Statements,619,539,0.8707592891760905,498,0.8045234248788369
T3 - Reordered Statements,619,560,0.9046849757673667,529,0.8546042003231018
T3 - Control Flow Modifications,619,517,0.8352180936995154,467,0.7544426494345718
T4 - Same Language,619,487,0.7867528271405493,420,0.678513731825525
T4 - Different Language,2359,4,0.001695633743111488,1,0.000423908435777872
Domain - Puzzles and Games,1166,786,0.6740994854202401,731,0.6269296740994854
Domain - Mathematics,3648,2612,0.7160087719298246,2403,0.6587171052631579
Domain - Text Processing,489,364,0.7443762781186094,339,0.6932515337423313
Domain - Programming Concepts,1503,1045,0.6952761144377911,907,0.603459747172322
Domain - Algorithms and Data Structures,1052,750,0.7129277566539924,698,0.6634980988593155
Domain - Networking and Web Development,210,165,0.7857142857142857,156,0.7428571428571429
Domain - Concurrency and Parallelism,91,63,0.6923076923076923,59,0.6483516483516484
Domain - Graphics and Visualization,582,452,0.7766323024054983,408,0.7010309278350515
Domain - Systems Programming and File I/O,478,339,0.7092050209205021,310,0.6485355648535565
Domain - Bioinformatics,32,25,0.78125,24,0.75
Domain - Security and Cryptography,219,171,0.7808219178082192,149,0.680365296803653
Domain - Databases and Data Management,80,54,0.675,48,0.6
Domain - Miscellaneous Topics,65,43,0.6615384615384615,35,0.5384615384615384
Domain - Operating Systems and Shell Programming,110,82,0.7454545454545455,73,0.6636363636363637
Domain - Software Engineering,16,9,0.5625,9,0.5625
Domain - Artificial Intelligence and Machine Learning,46,38,0.8260869565217391,36,0.782608695652174
