clone_code_id,base_code_id,task,clone_language,similarity_score,domain,subdomain,clone_type,clone_sub_type
p3fd_1_1,p3fd,100 doors,python,0.9981187,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
p3fd_1_2,p3fd,100 doors,python,0.9321564,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
p3fd_1_3,p3fd,100 doors,python,0.98483944,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
p3fd_1_4,p3fd,100 doors,python,0.98483944,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
p3fd_2_1,p3fd,100 doors,python,0.97462225,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
p3fd_2_2,p3fd,100 doors,python,0.98296005,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
p3fd_2_3,p3fd,100 doors,python,1.0000001,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
p3fd_3_1,p3fd,100 doors,python,0.9828072,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
p3fd_3_2,p3fd,100 doors,python,0.99594074,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
p3fd_3_3,p3fd,100 doors,python,0.998303,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
p3fd_3_4,p3fd,100 doors,python,0.9897459,Puzzles and Games,Logic and Mathematical Puzzles,T3,Control Flow Modifications
p3fd_4_1,p3fd,100 doors,python,0.9838774,Puzzles and Games,Logic and Mathematical Puzzles,T4,Same Language
p3fd_4_2,p3fd,100 doors,javascript,0.9184146,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,java,0.8604053,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,go,0.861042,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,ruby,0.9722819,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
p3fd_4_2,p3fd,100 doors,php,0.92106223,Puzzles and Games,Logic and Mathematical Puzzles,T4,Different Language
tcob_1_1,tcob,100 prisoners,python,1.0000001,Puzzles and Games,Logic and Mathematical Puzzles,T1,Identical Clone
tcob_1_2,tcob,100 prisoners,python,0.9273946,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Whitespaces
tcob_1_3,tcob,100 prisoners,python,0.99895674,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Comments
tcob_1_4,tcob,100 prisoners,python,0.99802625,Puzzles and Games,Logic and Mathematical Puzzles,T1,Different Formatting
tcob_2_1,tcob,100 prisoners,python,0.9935618,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Variable Names
tcob_2_2,tcob,100 prisoners,python,0.99612635,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Data Types
tcob_2_3,tcob,100 prisoners,python,0.9988087,Puzzles and Games,Logic and Mathematical Puzzles,T2,Different Function Names
tcob_3_1,tcob,100 prisoners,python,0.9990223,Puzzles and Games,Logic and Mathematical Puzzles,T3,Added Statements
tcob_3_2,tcob,100 prisoners,python,0.99125886,Puzzles and Games,Logic and Mathematical Puzzles,T3,Removed Statements
tcob_3_3,tcob,100 prisoners,python,0.99896145,Puzzles and Games,Logic and Mathematical Puzzles,T3,Reordered Statements
