Group,Number of Tests,Number of Top 5 Hits,Top 5 Hit Rate,Number of 1st in Top 5,First Hit Rate
Overall,9787,6417,0.6556656789618882,5841,0.5968120976805967
T1,2476,2054,0.8295638126009693,1957,0.7903877221324718
T2,1857,1676,0.9025309639203015,1611,0.8675282714054927
T3,2476,1996,0.8061389337641357,1864,0.752827140549273
T4,2978,691,0.2320349227669577,409,0.13734049697783748
T1 - Identical Clone,619,619,1.0,618,0.9983844911147012
T1 - Different Whitespaces,619,332,0.5363489499192245,291,0.4701130856219709
T1 - Different Comments,619,576,0.9305331179321487,554,0.8949919224555735
T1 - Different Formatting,619,527,0.851373182552504,494,0.7980613893376414
T2 - Different Variable Names,619,553,0.8933764135702746,527,0.851373182552504
T2 - Different Data Types,619,550,0.8885298869143781,525,0.8481421647819063
T2 - Different Function Names,619,573,0.925686591276252,559,0.9030694668820679
T3 - Added Statements,619,497,0.802907915993538,468,0.7560581583198708
T3 - Removed Statements,619,511,0.8255250403877221,475,0.7673667205169629
T3 - Reordered Statements,619,549,0.8869143780290791,519,0.8384491114701131
T3 - Control Flow Modifications,619,439,0.7092084006462036,402,0.6494345718901454
T4 - Same Language,619,421,0.6801292407108239,357,0.5767366720516963
T4 - Different Language,2359,2,0.000847816871555744,1,0.000423908435777872
Domain - Puzzles and Games,1166,742,0.6363636363636364,677,0.5806174957118353
Domain - Mathematics,3648,2330,0.6387061403508771,2141,0.5868969298245614
Domain - Text Processing,489,335,0.6850715746421268,317,0.6482617586912065
Domain - Programming Concepts,1503,987,0.656686626746507,864,0.5748502994011976
Domain - Algorithms and Data Structures,1052,660,0.6273764258555133,612,0.5817490494296578
Domain - Networking and Web Development,210,146,0.6952380952380952,127,0.6047619047619047
Domain - Concurrency and Parallelism,91,69,0.7582417582417582,67,0.7362637362637363
Domain - Graphics and Visualization,582,413,0.7096219931271478,381,0.654639175257732
Domain - Systems Programming and File I/O,478,338,0.7071129707112971,293,0.6129707112970711
Domain - Bioinformatics,32,25,0.78125,24,0.75
Domain - Security and Cryptography,219,158,0.7214611872146118,145,0.6621004566210046
Domain - Databases and Data Management,80,58,0.725,54,0.675
Domain - Miscellaneous Topics,65,36,0.5538461538461539,30,0.46153846153846156
Domain - Operating Systems and Shell Programming,110,75,0.6818181818181818,66,0.6
Domain - Software Engineering,16,10,0.625,10,0.625
Domain - Artificial Intelligence and Machine Learning,46,35,0.7608695652173914,33,0.717391304347826
